headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                US Supreme Court to review Nvidia shareholder lawsuit                            
",17/06/2024,0.0,0.4019,0.20095,Slightly Bullish
"

                                Bitcoin Suisse issues tokenized bond on Obligate to raise fresh capital                            
",11/06/2024,0.3,0.3182,0.3091,Slightly Bullish
"

                                SUI and LINK navigate challenges while RECQ excels in presale                            
",15/05/2024,0.0,0.5859,0.29295,Slightly Bullish
"

                                Bipartisan Senators probe FinCEN crypto mixer lawsuits                            
",13/05/2024,0.0,-0.1531,-0.07655,Neutral
"

                                Kraken again asks to dismiss SEC lawsuit, citing incorrect wording                            
",10/05/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                SEC files final response in XRP lawsuit, rejects Ripple’s claims                            
",08/05/2024,-0.05,-0.6249,-0.33745,Slightly Bearish
"

                                Coinbase slapped with class-action lawsuit                            
",05/05/2024,0.1,-0.2263,-0.06315,Neutral
"

                                Early investors book NuggetRush as profit prospects surge; Jupiter, SUI, struggle                            
",27/04/2024,0.1,0.4215,0.26075,Slightly Bullish
"

                                Crypto lobbyists file lawsuit against SEC on ‘dealer’ definition                            
",23/04/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Sam Bankman-Fried to aid class action lawsuit targeting FTX celebrity endorsers                            
",21/04/2024,0.1,-0.2263,-0.06315,Neutral
"

                                BytePlus, Mysten Labs partner to integrate Sui blockchain tech                            
",17/04/2024,0.0,0.0,0.0,Neutral
"

                                UNI whales offload $20m after SEC lawsuit, shift to new memecoin                            
",16/04/2024,0.018181818181818174,-0.2263,-0.1040590909090909,Neutral
"

                                FDUSD stablecoin expands to Sui blockchain, hits $3b market cap                            
",10/04/2024,0.0,0.1027,0.05135,Neutral
"

                                Borroe Finance’s ROE presale shows promise and could outpace BONK and SUI                            
",07/04/2024,0.0,0.3182,0.1591,Neutral
"

                                KuCoin Bitcoin balances drop over 20% following DOJ lawsuit                            
",03/04/2024,0.0,-0.4588,-0.2294,Slightly Bearish
"

                                Defending decentralization Tron fights back at SEC lawsuit                            
",01/04/2024,-0.05,-0.5574,-0.3037,Slightly Bearish
"

                                Top cryptocurrencies to watch this week: SOL, BOME, SUI                            
",17/03/2024,0.5,0.2023,0.35115,Slightly Bullish
"

                                Binance faces another lawsuit over US investors crypto losses                            
",08/03/2024,0.0,-0.5574,-0.2787,Slightly Bearish
"

                                Worldcoin: How will Elon Musk’s lawsuit against OpenAI impact WLD Price?                             
",07/03/2024,0.0,-0.2263,-0.11315,Neutral
